nakama,admin,mode,vus,iters_per_vu,total_samples,login_mean_ms,login_p95_ms,login_p99_ms,match_search_mean_ms,match_search_p95_ms,match_search_p99_ms,telemetry_sync_mean_ms,telemetry_sync_p95_ms,telemetry_sync_p99_ms,error_count
http://localhost:7350,http://localhost:8000,async,1,20,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,20
http://localhost:7350,http://localhost:8000,async,1,3,3,6.1059720001139794,8.763205700233812,9.049251540272962,3.2253676666490114,5.5935807000423665,5.913370540038159,nan,nan,nan,0
http://localhost:7350,http://localhost:8000,async,1,20,20,4.327187600028992,8.898464799585781,9.06169456002317,1.855802400086759,3.399453749807436,4.160088349817668,nan,nan,nan,0
http://localhost:7350,http://localhost:8000,sync,1,20,20,4.471589249988028,7.912049750075314,10.954097950116187,1.376565350119563,2.4413331996129273,2.559379440253906,3.258183300067685,4.027524450248166,4.535332889681739,0
